date,visits
2019-04-13,37
2019-04-14,50
2019-04-15,76
2019-04-16,82
2019-04-17,91
2019-04-18,77
2019-04-19,53
2019-04-20,18
2019-04-21,69
2019-04-22,74
2019-04-23,80
2019-04-24,79
2019-04-25,76
2019-04-26,79
2019-04-27,97
2019-04-28,42
2019-04-29,77
2019-04-30,63
2019-04-01,117
2019-04-02,80
2019-04-03,68
2019-04-04,56
2019-04-05,50
2019-04-06,110
2019-04-07,142
2019-04-08,97
2019-04-09,89
2019-04-10,79
2019-04-11,108
2019-04-12,59
2019-04-13,150
2019-04-14,139
2019-04-15,125
2019-04-16,88
2019-04-17,148
2019-04-18,101
2019-04-19,79
2019-04-20,158
2019-04-21,335
2019-04-22,96
2019-04-23,110
2019-04-24,121
2019-04-25,107
2019-04-26,70
2019-04-27,93
2019-04-28,145
2019-04-29,76
2019-04-30,100
NaT-01,8
NaT-02,16
NaT-03,17
NaT-04,10
NaT-05,7
NaT-06,16
NaT-07,18
NaT-08,8
NaT-09,15
NaT-10,9
NaT-11,8
NaT-12,12
NaT-13,14
NaT-14,8
NaT-15,12
NaT-16,6
NaT-17,11
NaT-18,18
NaT-19,23
NaT-20,10
NaT-21,29
NaT-22,10
NaT-23,8
NaT-24,13
NaT-25,17
NaT-26,12
NaT-27,8
NaT-28,12
NaT-29,15
NaT-30,8
NaT-01,4
NaT-02,14
NaT-03,25
NaT-04,12
NaT-05,18
NaT-06,3
NaT-07,5
NaT-08,26
NaT-09,27
NaT-10,24
NaT-11,18
NaT-12,15
NaT-13,4
NaT-14,7
NaT-15,2
NaT-16,8
NaT-17,6
NaT-18,8
NaT-19,8
NaT-20,0
NaT-21,3
NaT-22,22
NaT-23,25
NaT-24,20
NaT-25,19
NaT-26,21
NaT-27,4
NaT-28,3
NaT-29,15
NaT-30,20
NaT-01,37
NaT-02,139
NaT-03,181
NaT-04,121
NaT-05,165
NaT-06,247
NaT-07,180
NaT-08,37
NaT-09,77
NaT-10,98
NaT-11,88
NaT-12,128
NaT-13,196
NaT-14,237
NaT-15,45
NaT-16,192
NaT-17,178
NaT-18,154
NaT-19,140
NaT-20,227
NaT-21,204
NaT-22,16
NaT-23,2
NaT-24,6
NaT-25,2
NaT-26,18
NaT-27,37
NaT-28,38
NaT-29,3
NaT-30,12
NaT-01,22
NaT-02,6
NaT-03,13
NaT-04,13
NaT-05,17
NaT-06,12
NaT-07,18
NaT-08,9
NaT-09,8
NaT-10,8
NaT-11,11
NaT-12,8
NaT-13,11
NaT-14,6
NaT-15,9
NaT-16,10
NaT-17,12
NaT-18,9
NaT-19,9
NaT-20,14
NaT-21,5
NaT-22,17
NaT-23,16
NaT-24,12
NaT-25,9
NaT-26,14
NaT-27,6
NaT-28,9
NaT-29,15
NaT-30,9
NaT-01,6
NaT-02,2
NaT-03,1
NaT-04,6
NaT-05,1
NaT-06,2
NaT-07,5
NaT-08,1
NaT-09,6
NaT-10,3
NaT-11,4
NaT-12,0
NaT-13,1
NaT-14,1
NaT-15,5
NaT-16,5
NaT-17,3
NaT-18,6
NaT-19,3
NaT-20,5
NaT-21,4
NaT-22,0
NaT-23,1
NaT-24,7
NaT-25,1
NaT-26,3
NaT-27,2
NaT-28,0
NaT-29,4
NaT-30,4
NaT-01,5
NaT-02,10
NaT-03,12
NaT-04,11
NaT-05,11
NaT-06,15
NaT-07,15
NaT-08,15
NaT-09,12
NaT-10,11
NaT-11,9
NaT-12,20
NaT-13,10
NaT-14,10
NaT-15,11
NaT-16,12
NaT-17,15
NaT-18,8
NaT-19,10
NaT-20,21
NaT-21,53
NaT-22,17
NaT-23,15
NaT-24,13
NaT-25,8
NaT-26,8
NaT-27,23
NaT-28,29
NaT-29,9
NaT-30,8
NaT-01,9
NaT-02,15
NaT-03,8
NaT-04,6
NaT-05,37
NaT-06,12
NaT-07,18
NaT-08,17
NaT-09,6
NaT-10,8
NaT-11,9
NaT-12,8
NaT-13,14
NaT-14,17
NaT-15,16
NaT-16,9
NaT-17,3
NaT-18,20
NaT-19,13
NaT-20,13
NaT-21,13
NaT-22,12
NaT-23,25
NaT-24,17
NaT-25,8
NaT-26,20
NaT-27,28
NaT-28,15
NaT-29,21
NaT-30,5
NaT-01,5
NaT-02,9
NaT-03,6
NaT-04,9
NaT-05,13
NaT-06,16
NaT-07,7
NaT-08,10
NaT-09,10
NaT-10,6
NaT-11,10
NaT-12,14
NaT-13,8
NaT-14,18
NaT-15,10
NaT-16,4
NaT-17,8
NaT-18,7
NaT-19,8
NaT-20,7
NaT-21,9
NaT-22,9
NaT-23,5
NaT-24,11
NaT-25,8
NaT-26,11
NaT-27,10
NaT-28,9
NaT-29,10
NaT-30,3
NaT-01,1
NaT-02,2
NaT-03,2
NaT-04,1
NaT-05,3
NaT-06,2
NaT-07,2
NaT-08,0
NaT-09,1
NaT-10,0
NaT-11,1
NaT-12,0
NaT-13,4
NaT-14,2
NaT-15,1
NaT-16,3
NaT-17,4
NaT-18,1
NaT-19,0
NaT-20,5
NaT-21,4
NaT-22,3
NaT-23,0
NaT-24,4
NaT-25,0
NaT-26,4
NaT-27,2
NaT-28,3
NaT-29,4
NaT-30,2
NaT-01,15
NaT-02,30
NaT-03,26
NaT-04,22
NaT-05,27
NaT-06,22
NaT-07,36
NaT-08,39
NaT-09,28
NaT-10,27
NaT-11,38
NaT-12,36
NaT-13,28
NaT-14,19
NaT-15,43
NaT-16,19
NaT-17,21
NaT-18,15
NaT-19,31
NaT-20,32
NaT-21,40
NaT-22,31
NaT-23,26
NaT-24,37
NaT-25,37
NaT-26,34
NaT-27,20
NaT-28,27
NaT-29,42
NaT-30,24
NaT-01,20
NaT-02,8
NaT-03,17
NaT-04,16
NaT-05,16
NaT-06,29
NaT-07,17
NaT-08,16
NaT-09,12
NaT-10,14
NaT-11,20
NaT-12,22
NaT-13,36
NaT-14,24
NaT-15,21
NaT-16,30
NaT-17,18
NaT-18,13
NaT-19,15
NaT-20,35
NaT-21,56
NaT-22,23
NaT-23,23
NaT-24,26
NaT-25,23
NaT-26,23
NaT-27,21
NaT-28,15
NaT-29,10
NaT-30,13
NaT-01,11
NaT-02,8
NaT-03,9
NaT-04,6
NaT-05,6
NaT-06,6
NaT-07,6
NaT-08,4
NaT-09,12
NaT-10,14
NaT-11,1
NaT-12,7
NaT-13,2
NaT-14,8
NaT-15,11
NaT-16,9
NaT-17,8
NaT-18,8
NaT-19,9
NaT-20,8
NaT-21,2
NaT-22,2
NaT-23,6
NaT-24,3
NaT-25,16
NaT-26,10
NaT-27,3
NaT-28,7
NaT-29,4
NaT-30,7
NaT-01,8
NaT-02,9
NaT-03,8
NaT-04,8
NaT-05,12
NaT-06,6
NaT-07,14
NaT-08,6
NaT-09,8
NaT-10,7
NaT-11,11
NaT-12,5
NaT-13,6
NaT-14,5
NaT-15,5
NaT-16,9
NaT-17,4
NaT-18,12
NaT-19,5
NaT-20,4
NaT-21,2
NaT-22,6
NaT-23,8
NaT-24,7
NaT-25,9
NaT-26,18
NaT-27,10
NaT-28,10
NaT-29,10
NaT-30,11
NaT-01,4
NaT-02,5
NaT-03,5
NaT-04,7
NaT-05,4
NaT-06,8
NaT-07,1
NaT-08,5
NaT-09,3
NaT-10,9
NaT-11,9
NaT-12,6
NaT-13,5
NaT-14,6
NaT-15,5
NaT-16,3
NaT-17,5
NaT-18,13
NaT-19,9
NaT-20,8
NaT-21,5
NaT-22,3
NaT-23,3
NaT-24,4
NaT-25,5
NaT-26,6
NaT-27,5
NaT-28,4
NaT-29,2
NaT-30,3
NaT-01,1
NaT-02,0
NaT-03,1
NaT-04,0
NaT-05,0
NaT-06,0
NaT-07,4
NaT-08,0
NaT-09,0
NaT-10,1
NaT-11,0
NaT-12,0
NaT-13,2
NaT-14,1
NaT-15,0
NaT-16,0
NaT-17,1
NaT-18,0
NaT-19,0
NaT-20,0
NaT-21,1
NaT-22,1
NaT-23,0
NaT-24,1
NaT-25,0
NaT-26,2
NaT-27,1
NaT-28,1
NaT-29,0
NaT-30,0
NaT-01,0
NaT-02,1
NaT-03,1
NaT-04,3
NaT-05,3
NaT-06,2
NaT-07,0
NaT-08,8
NaT-09,4
NaT-10,2
NaT-11,0
NaT-12,2
NaT-13,0
NaT-14,2
NaT-15,0
NaT-16,2
NaT-17,6
NaT-18,0
NaT-19,1
NaT-20,1
NaT-21,1
NaT-22,5
NaT-23,5
NaT-24,3
NaT-25,1
NaT-26,1
NaT-27,0
NaT-28,1
NaT-29,2
NaT-30,0
NaT-01,2
NaT-02,1
NaT-03,1
NaT-04,2
NaT-05,0
NaT-06,0
NaT-07,0
NaT-08,2
NaT-09,0
NaT-10,4
NaT-11,0
NaT-12,0
NaT-13,0
NaT-14,0
NaT-15,0
NaT-16,3
NaT-17,0
NaT-18,0
NaT-19,2
NaT-20,0
NaT-21,1
NaT-22,1
NaT-23,2
NaT-24,0
NaT-25,1
NaT-26,2
NaT-27,0
NaT-28,1
NaT-29,2
NaT-30,0
NaT-01,4
NaT-02,8
NaT-03,13
NaT-04,17
NaT-05,11
NaT-06,2
NaT-07,2
NaT-08,16
NaT-09,9
NaT-10,16
NaT-11,9
NaT-12,14
NaT-13,4
NaT-14,2
NaT-15,12
NaT-16,8
NaT-17,9
NaT-18,12
NaT-19,8
NaT-20,5
NaT-21,7
NaT-22,15
NaT-23,13
NaT-24,12
NaT-25,6
NaT-26,11
NaT-27,8
NaT-28,4
NaT-29,13
NaT-30,9
NaT-01,20
NaT-02,23
NaT-03,15
NaT-04,32
NaT-05,27
NaT-06,49
NaT-07,43
NaT-08,9
NaT-09,18
NaT-10,30
NaT-11,27
NaT-12,39
NaT-13,49
NaT-14,30
NaT-15,13
NaT-16,35
NaT-17,38
NaT-18,26
NaT-19,38
NaT-20,68
NaT-21,61
NaT-22,6
NaT-23,40
NaT-24,24
NaT-25,63
NaT-26,35
NaT-27,27
NaT-28,32
NaT-29,10
NaT-30,29
NaT-01,9
NaT-02,8
NaT-03,8
NaT-04,5
NaT-05,7
NaT-06,4
NaT-07,8
NaT-08,3
NaT-09,3
NaT-10,8
NaT-11,5
NaT-12,10
NaT-13,12
NaT-14,3
NaT-15,5
NaT-16,4
NaT-17,3
NaT-18,9
NaT-19,5
NaT-20,8
NaT-21,16
NaT-22,0
NaT-23,4
NaT-24,5
NaT-25,5
NaT-26,12
NaT-27,4
NaT-28,4
NaT-29,9
NaT-30,2
NaT-01,3
NaT-02,1
NaT-03,1
NaT-04,1
NaT-05,2
NaT-06,5
NaT-07,2
NaT-08,2
NaT-09,0
NaT-10,5
NaT-11,6
NaT-12,4
NaT-13,3
NaT-14,6
NaT-15,8
NaT-16,5
NaT-17,8
NaT-18,3
NaT-19,5
NaT-20,5
NaT-21,2
NaT-22,2
NaT-23,3
NaT-24,5
NaT-25,1
NaT-26,1
NaT-27,7
NaT-28,4
NaT-29,10
NaT-30,14
NaT-01,11
NaT-02,26
NaT-03,34
NaT-04,35
NaT-05,27
NaT-06,16
NaT-07,8
NaT-08,23
NaT-09,32
NaT-10,34
NaT-11,26
NaT-12,26
NaT-13,28
NaT-14,9
NaT-15,37
NaT-16,28
NaT-17,28
NaT-18,31
NaT-19,32
NaT-20,12
NaT-21,7
NaT-22,27
NaT-23,20
NaT-24,33
NaT-25,39
NaT-26,34
NaT-27,23
NaT-28,10
NaT-29,28
NaT-30,24
NaT-01,1
NaT-02,2
NaT-03,1
NaT-04,2
NaT-05,1
NaT-06,1
NaT-07,0
NaT-08,2
NaT-09,5
NaT-10,7
NaT-11,6
NaT-12,2
NaT-13,3
NaT-14,4
NaT-15,4
NaT-16,2
NaT-17,4
NaT-18,4
NaT-19,2
NaT-20,0
NaT-21,1
NaT-22,11
NaT-23,6
NaT-24,5
NaT-25,5
NaT-26,3
NaT-27,5
NaT-28,4
NaT-29,3
NaT-30,2
NaT-01,5
NaT-02,9
NaT-03,11
NaT-04,14
NaT-05,7
NaT-06,7
NaT-07,10
NaT-08,12
NaT-09,7
NaT-10,6
NaT-11,13
NaT-12,10
NaT-13,11
NaT-14,16
NaT-15,12
NaT-16,17
NaT-17,10
NaT-18,24
NaT-19,17
NaT-20,11
NaT-21,11
NaT-22,10
NaT-23,19
NaT-24,14
NaT-25,13
NaT-26,8
NaT-27,13
NaT-28,13
NaT-29,7
NaT-30,5
NaT-01,1
NaT-02,3
NaT-03,4
NaT-04,2
NaT-05,1
NaT-06,0
NaT-07,2
NaT-08,0
NaT-09,1
NaT-10,4
NaT-11,1
NaT-12,2
NaT-13,0
NaT-14,0
NaT-15,3
NaT-16,2
NaT-17,2
NaT-18,0
NaT-19,2
NaT-20,2
NaT-21,0
NaT-22,0
NaT-23,3
NaT-24,2
NaT-25,6
NaT-26,4
NaT-27,2
NaT-28,1
NaT-29,10
NaT-30,2
NaT-01,5
NaT-02,10
NaT-03,7
NaT-04,12
NaT-05,11
NaT-06,12
NaT-07,15
NaT-08,6
NaT-09,10
NaT-10,7
NaT-11,3
NaT-12,12
NaT-13,7
NaT-14,10
NaT-15,2
NaT-16,7
NaT-17,5
NaT-18,9
NaT-19,12
NaT-20,9
NaT-21,21
NaT-22,10
NaT-23,3
NaT-24,4
NaT-25,2
NaT-26,12
NaT-27,6
NaT-28,18
NaT-29,7
NaT-30,8
NaT-01,17
NaT-02,26
NaT-03,17
NaT-04,24
NaT-05,17
NaT-06,30
NaT-07,22
NaT-08,24
NaT-09,17
NaT-10,24
NaT-11,20
NaT-12,18
NaT-13,29
NaT-14,21
NaT-15,22
NaT-16,19
NaT-17,7
NaT-18,17
NaT-19,14
NaT-20,27
NaT-21,21
NaT-22,39
NaT-23,27
NaT-24,25
NaT-25,21
NaT-26,32
NaT-27,20
NaT-28,16
NaT-29,24
NaT-30,18
NaT-01,49
NaT-02,66
NaT-03,42
NaT-04,43
NaT-05,31
NaT-06,46
NaT-07,53
NaT-08,42
NaT-09,46
NaT-10,34
NaT-11,40
NaT-12,46
NaT-13,30
NaT-14,62
NaT-15,46
NaT-16,48
NaT-17,51
NaT-18,40
NaT-19,53
NaT-20,68
NaT-21,60
NaT-22,40
NaT-23,57
NaT-24,60
NaT-25,60
NaT-26,62
NaT-27,81
NaT-28,52
NaT-29,37
NaT-30,56
NaT-01,16
NaT-02,87
NaT-03,79
NaT-04,80
NaT-05,76
NaT-06,9
NaT-07,1
NaT-08,90
NaT-09,67
NaT-10,83
NaT-11,76
NaT-12,77
NaT-13,11
NaT-14,7
NaT-15,10
NaT-16,11
NaT-17,14
NaT-18,14
NaT-19,9
NaT-20,3
NaT-21,5
NaT-22,74
NaT-23,73
NaT-24,68
NaT-25,74
NaT-26,72
NaT-27,54
NaT-28,20
NaT-29,54
NaT-30,82
NaT-01,9
NaT-02,15
NaT-03,16
NaT-04,12
NaT-05,9
NaT-06,5
NaT-07,2
NaT-08,15
NaT-09,15
NaT-10,9
NaT-11,13
NaT-12,11
NaT-13,3
NaT-14,2
NaT-15,10
NaT-16,9
NaT-17,10
NaT-18,12
NaT-19,10
NaT-20,2
NaT-21,3
NaT-22,11
NaT-23,12
NaT-24,16
NaT-25,22
NaT-26,17
NaT-27,0
NaT-28,6
NaT-29,23
NaT-30,12
NaT-01,5
NaT-02,2
NaT-03,0
NaT-04,3
NaT-05,1
NaT-06,1
NaT-07,0
NaT-08,4
NaT-09,1
NaT-10,1
NaT-11,3
NaT-12,1
NaT-13,0
NaT-14,1
NaT-15,5
NaT-16,2
NaT-17,2
NaT-18,0
NaT-19,1
NaT-20,0
NaT-21,0
NaT-22,0
NaT-23,0
NaT-24,0
NaT-25,2
NaT-26,0
NaT-27,3
NaT-28,0
NaT-29,4
NaT-30,1
NaT-01,49
NaT-02,64
NaT-03,132
NaT-04,73
NaT-05,54
NaT-06,60
NaT-07,59
NaT-08,71
NaT-09,70
NaT-10,89
NaT-11,69
NaT-12,69
NaT-13,61
NaT-14,36
NaT-15,92
NaT-16,93
NaT-17,142
NaT-18,42
NaT-19,44
NaT-20,57
NaT-21,12
NaT-22,90
NaT-23,97
NaT-24,100
NaT-25,71
NaT-26,83
NaT-27,59
NaT-28,38
NaT-29,96
NaT-30,70
NaT-01,12
NaT-02,7
NaT-03,16
NaT-04,9
NaT-05,10
NaT-06,10
NaT-07,25
NaT-08,10
NaT-09,7
NaT-10,7
NaT-11,9
NaT-12,9
NaT-13,14
NaT-14,9
NaT-15,13
NaT-16,19
NaT-17,10
NaT-18,7
NaT-19,13
NaT-20,12
NaT-21,12
NaT-22,8
NaT-23,8
NaT-24,11
NaT-25,12
NaT-26,9
NaT-27,21
NaT-28,17
NaT-29,11
NaT-30,12
NaT-01,5
NaT-02,12
NaT-03,9
NaT-04,9
NaT-05,10
NaT-06,10
NaT-07,15
NaT-08,11
NaT-09,6
NaT-10,6
NaT-11,9
NaT-12,11
NaT-13,15
NaT-14,11
NaT-15,8
NaT-16,11
NaT-17,10
NaT-18,13
NaT-19,12
NaT-20,11
NaT-21,9
NaT-22,11
NaT-23,10
NaT-24,9
NaT-25,12
NaT-26,15
NaT-27,13
NaT-28,4
NaT-29,5
NaT-30,10
NaT-01,2
NaT-02,6
NaT-03,9
NaT-04,5
NaT-05,9
NaT-06,2
NaT-07,6
NaT-08,1
NaT-09,4
NaT-10,5
NaT-11,4
NaT-12,6
NaT-13,7
NaT-14,1
NaT-15,3
NaT-16,4
NaT-17,4
NaT-18,6
NaT-19,4
NaT-20,5
NaT-21,3
NaT-22,6
NaT-23,7
NaT-24,6
NaT-25,4
NaT-26,7
NaT-27,3
NaT-28,5
NaT-29,3
NaT-30,4
NaT-01,17
NaT-02,14
NaT-03,14
NaT-04,15
NaT-05,16
NaT-06,23
NaT-07,24
NaT-08,11
NaT-09,11
NaT-10,8
NaT-11,9
NaT-12,24
NaT-13,19
NaT-14,33
NaT-15,18
NaT-16,15
NaT-17,19
NaT-18,17
NaT-19,14
NaT-20,14
NaT-21,23
NaT-22,9
NaT-23,10
NaT-24,13
NaT-25,16
NaT-26,15
NaT-27,18
NaT-28,27
NaT-29,9
NaT-30,12
NaT-01,8
NaT-02,1
NaT-03,3
NaT-04,2
NaT-05,1
NaT-06,4
NaT-07,2
NaT-08,4
NaT-09,3
NaT-10,1
NaT-11,0
NaT-12,1
NaT-13,2
NaT-14,2
NaT-15,1
NaT-16,3
NaT-17,3
NaT-18,1
NaT-19,2
NaT-20,2
NaT-21,6
NaT-22,2
NaT-23,2
NaT-24,0
NaT-25,1
NaT-26,0
NaT-27,0
NaT-28,1
NaT-29,0
NaT-30,4
NaT-01,25
NaT-02,12
NaT-03,12
NaT-04,30
NaT-05,16
NaT-06,21
NaT-07,20
NaT-08,19
NaT-09,19
NaT-10,20
NaT-11,25
NaT-12,16
NaT-13,22
NaT-14,18
NaT-15,23
NaT-16,18
NaT-17,22
NaT-18,20
NaT-19,20
NaT-20,15
NaT-21,17
NaT-22,16
NaT-23,13
NaT-24,36
NaT-25,24
NaT-26,15
NaT-27,25
NaT-28,19
NaT-29,11
NaT-30,16
NaT-01,4
NaT-02,6
NaT-03,11
NaT-04,9
NaT-05,7
NaT-06,4
NaT-07,7
NaT-08,7
NaT-09,3
NaT-10,7
NaT-11,3
NaT-12,5
NaT-13,4
NaT-14,8
NaT-15,7
NaT-16,7
NaT-17,4
NaT-18,4
NaT-19,12
NaT-20,23
NaT-21,13
NaT-22,8
NaT-23,5
NaT-24,6
NaT-25,3
NaT-26,12
NaT-27,6
NaT-28,6
NaT-29,2
NaT-30,4
NaT-01,4
NaT-02,4
NaT-03,3
NaT-04,2
NaT-05,4
NaT-06,15
NaT-07,1
NaT-08,5
NaT-09,4
NaT-10,1
NaT-11,0
NaT-12,3
NaT-13,7
NaT-14,5
NaT-15,3
NaT-16,7
NaT-17,9
NaT-18,9
NaT-19,5
NaT-20,7
NaT-21,2
NaT-22,3
NaT-23,4
NaT-24,3
NaT-25,0
NaT-26,2
NaT-27,9
NaT-28,0
NaT-29,3
NaT-30,3
NaT-01,6
NaT-02,2
NaT-03,9
NaT-04,9
NaT-05,5
NaT-06,9
NaT-07,8
NaT-08,4
NaT-09,9
NaT-10,6
NaT-11,7
NaT-12,10
NaT-13,7
NaT-14,4
NaT-15,5
NaT-16,5
NaT-17,4
NaT-18,7
NaT-19,7
NaT-20,5
NaT-21,15
NaT-22,4
NaT-23,9
NaT-24,14
NaT-25,7
NaT-26,5
NaT-27,9
NaT-28,13
NaT-29,11
NaT-30,6
NaT-01,16
NaT-02,17
NaT-03,19
NaT-04,7
NaT-05,16
NaT-06,21
NaT-07,28
NaT-08,16
NaT-09,17
NaT-10,13
NaT-11,13
NaT-12,13
NaT-13,16
NaT-14,33
NaT-15,11
NaT-16,11
NaT-17,20
NaT-18,19
NaT-19,14
NaT-20,23
NaT-21,42
NaT-22,24
NaT-23,12
NaT-24,15
NaT-25,22
NaT-26,18
NaT-27,17
NaT-28,11
NaT-29,11
NaT-30,18
NaT-01,11
NaT-02,20
NaT-03,31
NaT-04,24
NaT-05,15
NaT-06,16
NaT-07,15
NaT-08,17
NaT-09,25
NaT-10,15
NaT-11,20
NaT-12,29
NaT-13,15
NaT-14,15
NaT-15,12
NaT-16,31
NaT-17,33
NaT-18,27
NaT-19,28
NaT-20,24
NaT-21,13
NaT-22,30
NaT-23,29
NaT-24,26
NaT-25,28
NaT-26,27
NaT-27,20
NaT-28,14
NaT-29,24
NaT-30,22
NaT-01,3
NaT-02,4
NaT-03,5
NaT-04,5
NaT-05,0
NaT-06,1
NaT-07,2
NaT-08,1
NaT-09,1
NaT-10,1
NaT-11,2
NaT-12,1
NaT-13,1
NaT-14,3
NaT-15,2
NaT-16,1
NaT-17,1
NaT-18,4
NaT-19,3
NaT-20,0
NaT-21,4
NaT-22,1
NaT-23,4
NaT-24,8
NaT-25,4
NaT-26,1
NaT-27,4
NaT-28,2
NaT-29,2
NaT-30,2
NaT-01,3
NaT-02,5
NaT-03,3
NaT-04,3
NaT-05,11
NaT-06,4
NaT-07,2
NaT-08,2
NaT-09,7
NaT-10,2
NaT-11,7
NaT-12,8
NaT-13,8
NaT-14,2
NaT-15,6
NaT-16,5
NaT-17,4
NaT-18,5
NaT-19,5
NaT-20,4
NaT-21,5
NaT-22,2
NaT-23,5
NaT-24,0
NaT-25,2
NaT-26,6
NaT-27,8
NaT-28,5
NaT-29,1
NaT-30,2
NaT-01,7
NaT-02,1
NaT-03,2
NaT-04,3
NaT-05,6
NaT-06,7
NaT-07,4
NaT-08,5
NaT-09,3
NaT-10,1
NaT-11,2
NaT-12,4
NaT-13,15
NaT-14,7
NaT-15,7
NaT-16,3
NaT-17,5
NaT-18,2
NaT-19,7
NaT-20,3
NaT-21,11
NaT-22,6
NaT-23,7
NaT-24,6
NaT-25,4
NaT-26,7
NaT-27,4
NaT-28,7
NaT-29,5
NaT-30,9
NaT-01,12
NaT-02,17
NaT-03,20
NaT-04,16
NaT-05,21
NaT-06,24
NaT-07,19
NaT-08,15
NaT-09,15
NaT-10,14
NaT-11,16
NaT-12,22
NaT-13,31
NaT-14,32
NaT-15,14
NaT-16,12
NaT-17,7
NaT-18,10
NaT-19,7
NaT-20,20
NaT-21,18
NaT-22,10
NaT-23,23
NaT-24,12
NaT-25,10
NaT-26,20
NaT-27,14
NaT-28,24
NaT-29,13
NaT-30,11
NaT-01,1
